Nutrient Name,Value,Unit
PUFA 18:4,0.0,G
MUFA 20:1,0.0,G
MUFA 22:1,0.0,G
"Fatty acids, total monounsaturated",0.0,G
"Fatty acids, total polyunsaturated",0.0,G
"Vitamin A, IU",0.0,IU
Cholesterol,0.0,MG
"Fatty acids, total saturated",0.0,G
SFA 8:0,0.0,G
SFA 12:0,0.0,G
SFA 14:0,0.0,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.0,G
PUFA 20:5 n-3 (EPA),0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
Retinol,0.0,UG
"Fatty acids, total trans",0.0,G
"Vitamin B-12, added",0.0,UG
"Vitamin E, added",0.0,MG
Vitamin B-12,0.02,UG
"Folate, DFE",6.0,UG
"Choline, total",8.8,MG
Caffeine,0.0,MG
Theobromine,0.0,MG
Vitamin E (alpha-tocopherol),0.0,MG
Lutein + zeaxanthin,0.0,UG
"Carotene, beta",0.0,UG
"Carotene, alpha",0.0,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
Vitamin D (D2 + D3),0.0,UG
Total lipid (fat),0.0,G
Glucose,0.0,G
Maltose,0.0,G
Water,95.0,G
"Calcium, Ca",3.0,MG
"Potassium, K",26.0,MG
"Zinc, Zn",0.0,MG
Protein,0.25,G
Ash,0.11,G
Starch,0.0,G
Fructose,0.0,G
"Alcohol, ethyl",3.3,G
"Fiber, total dietary",0.0,G
"Iron, Fe",0.0,MG
"Magnesium, Mg",7.0,MG
"Phosphorus, P",11.0,MG
"Sodium, Na",3.0,MG
"Copper, Cu",0.002,MG
Cholesterol,0.0,MG
"Manganese, Mn",0.006,MG
"Fatty acids, total trans",0.0,G
Energy,123.0,kJ
"Carbohydrate, by difference",1.3,G
Energy,29.0,KCAL
Total lipid (fat),0.0,G
"Carbohydrate, by difference",0.87,G
Energy,28.0,KCAL
Glucose,0.0,G
Maltose,0.0,G
Water,95.3,G
"Calcium, Ca",4.0,MG
"Potassium, K",26.0,MG
"Zinc, Zn",0.01,MG
Protein,0.2,G
Ash,0.08,G
Starch,0.0,G
Fructose,0.0,G
"Alcohol, ethyl",3.4,G
Energy,117.0,kJ
"Fiber, total dietary",0.0,G
"Iron, Fe",0.0,MG
"Magnesium, Mg",6.0,MG
"Sodium, Na",3.0,MG
"Copper, Cu",0.001,MG
"Manganese, Mn",0.007,MG
Cholesterol,0.0,MG
"Fatty acids, total trans",0.0,G
Protein,0.25,G
Ash,0.09,G
"Alcohol, ethyl",6.0,G
Energy,191.0,kJ
"Fiber, total dietary",0.0,G
"Iron, Fe",0.03,MG
"Magnesium, Mg",5.0,MG
"Phosphorus, P",12.0,MG
"Sodium, Na",4.0,MG
"Copper, Cu",0.006,MG
"Vitamin A, IU",0.0,IU
Retinol,0.0,UG
"Vitamin A, RAE",0.0,UG
"Carotene, beta",0.0,UG
"Carotene, alpha",0.0,UG
Vitamin D (D2 + D3),0.0,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
"Vitamin C, total ascorbic acid",0.0,MG
Thiamin,0.005,MG
Riboflavin,0.015,MG
"Folate, total",6.0,UG
Vitamin B-12,0.02,UG
Vitamin K (phylloquinone),0.0,UG
"Folate, food",6.0,UG
"Vitamin B-12, added",0.0,UG
Cholesterol,0.0,MG
"Fatty acids, total saturated",0.0,G
SFA 8:0,0.0,G
SFA 12:0,0.0,G
SFA 14:0,0.0,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.0,G
PUFA 20:5 n-3 (EPA),0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
Total lipid (fat),0.0,G
"Carbohydrate, by difference",0.77,G
Energy,46.0,KCAL
Water,92.9,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",0.09,G
"Calcium, Ca",4.0,MG
"Potassium, K",21.0,MG
"Zinc, Zn",0.01,MG
"Selenium, Se",0.4,UG
Vitamin E (alpha-tocopherol),0.0,MG
"Vitamin D (D2 + D3), International Units",0.0,IU
Lutein + zeaxanthin,0.0,UG
Niacin,0.391,MG
Vitamin B-6,0.034,MG
"Choline, total",8.8,MG
Folic acid,0.0,UG
"Folate, DFE",6.0,UG
"Vitamin E, added",0.0,MG
SFA 4:0,0.0,G
SFA 6:0,0.0,G
SFA 10:0,0.0,G
SFA 16:0,0.0,G
SFA 18:0,0.0,G
MUFA 18:1,0.0,G
PUFA 18:2,0.0,G
PUFA 18:3,0.0,G
PUFA 20:4,0.0,G
PUFA 18:4,0.0,G
MUFA 20:1,0.0,G
MUFA 22:1,0.0,G
"Fatty acids, total monounsaturated",0.0,G
"Fatty acids, total polyunsaturated",0.0,G
Protein,0.17,G
Ash,0.06,G
Starch,0.0,G
Fructose,0.0,G
Energy,112.0,kJ
"Fiber, total dietary",0.0,G
"Iron, Fe",0.0,MG
"Magnesium, Mg",4.0,MG
"Phosphorus, P",8.0,MG
"Sodium, Na",3.0,MG
"Copper, Cu",0.002,MG
"Manganese, Mn",0.005,MG
Cholesterol,0.0,MG
"Calcium, Ca",4.0,MG
"Potassium, K",17.0,MG
"Zinc, Zn",0.01,MG
Total lipid (fat),0.0,G
"Carbohydrate, by difference",0.73,G
Energy,27.0,KCAL
Glucose,0.0,G
Maltose,0.0,G
Water,95.4,G
"Fatty acids, total trans",0.0,G
"Fatty acids, total saturated",0.0,G
SFA 8:0,0.0,G
SFA 12:0,0.0,G
SFA 14:0,0.0,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.0,G
PUFA 20:5 n-3 (EPA),0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
"Vitamin A, IU",0.0,IU
Retinol,0.0,UG
"Vitamin A, RAE",0.0,UG
"Carotene, beta",0.0,UG
"Carotene, alpha",0.0,UG
Vitamin D (D2 + D3),0.0,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
"Vitamin C, total ascorbic acid",0.0,MG
Thiamin,0.0,MG
Riboflavin,0.0,MG
"Folate, total",0.0,UG
Vitamin B-12,0.0,UG
Vitamin K (phylloquinone),0.0,UG
"Folate, food",0.0,UG
"Vitamin B-12, added",0.0,UG
"Alcohol, ethyl",3.3,G
"Selenium, Se",0.0,UG
Vitamin E (alpha-tocopherol),0.0,MG
"Vitamin D (D2 + D3), International Units",0.0,IU
Lutein + zeaxanthin,0.0,UG
Niacin,0.0,MG
Vitamin B-6,0.0,MG
"Choline, total",0.0,MG
Folic acid,0.0,UG
"Folate, DFE",0.0,UG
"Vitamin E, added",0.0,MG
SFA 4:0,0.0,G
SFA 6:0,0.0,G
SFA 10:0,0.0,G
SFA 16:0,0.0,G
SFA 18:0,0.0,G
MUFA 18:1,0.0,G
PUFA 18:2,0.0,G
PUFA 18:3,0.0,G
PUFA 20:4,0.0,G
PUFA 18:4,0.0,G
MUFA 20:1,0.0,G
MUFA 22:1,0.0,G
"Fatty acids, total monounsaturated",0.0,G
"Fatty acids, total polyunsaturated",0.0,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",0.0,G
